"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
73,31.9,20,22.1,1,11.5,22.7,791,16.3,34.9,34.9
26.2,39.2,24.8,44.9,16.3,50,90.6,1407,31.9,62.1,74.3
36.5,20.7,29.4,36.5,21.3,2.07,9.91,26.7,30.5,50.5,9.65
94.7,64.4,16.3,16.8,9.22,67.3,105,1981,10.3,22.5,20.5
34.9,25.7,20.4,81.3,2.97,21.5,50.5,1165,6.67,30.5,23.5
229,165,21.3,25.5,1.09,59.4,129,2436,9.91,20,15.5
33.1,32.8,87.4,403,64.4,7.1,14.1,1252,6.98,23.3,14.9
163,122,21.7,311,47,43.7,99.1,1894,3.65,21.3,26.2
112,67.3,17,90.6,10.4,39.6,58.3,588,8.28,26.2,40.7
45.7,25.5,15.8,189,8.28,52.3,84.3,1420,11.3,42.9,36.2
49.6,41.4,25.7,11.1,9.06,28.9,57.3,1762,5,27.1,33.1
40.7,22.1,35.5,200,42.9,7.17,11,533,13.7,28.4,27.6
36.8,24.4,15.7,44.5,5.62,23.7,43.7,1018,109,281,355
75.7,37.9,10.2,8.98,7.7,10.2,28.1,461,22.9,42.9,64.4
11.8,17,49.1,410,54.2,15.7,36.2,1219,10.1,22.1,19.6
21.3,23.5,18.3,85.1,7.37,22.5,37.5,466,28.9,56.7,63.8
106,55.7,16.7,14.1,8.43,13.7,40.7,437,14.7,28.4,42.6
168,103,7.3,130,10.2,6.26,25.5,196,14.5,19.8,31.6
36.2,23.7,36.8,328,51.9,9.22,13.3,679,42.2,92.2,122
170,123,16.5,8.35,1.73,20.2,29.2,757,32.8,78.4,186
48.3,42.9,14.2,279,18.9,54.2,102,2167,1.65,61.5,9.65
58.8,40,22.5,63.8,23.1,11.3,15,528,67.9,97.3,3.89
44.1,42.2,14.5,204,13.8,20.7,42.6,509,13.3,39.2,61.5
35.5,22.1,23.5,131,7.1,16.4,32.2,1670,12.1,30.5,44.1
22.9,26.9,20.2,19.6,5.23,10.3,13.3,255,10.1,22.5,19.6
37.5,22.3,24.4,67.3,26.7,9.65,16.5,300,8.9,13.5,9.56
27.9,20.9,39.2,103,44.9,33.1,62.6,764,6.73,23.5,25.3
30.8,24.8,21.1,91.4,19.6,15,41.4,519,33.7,84.3,81.3
113,66.7,19.8,44.9,12.3,17.9,25.9,679,7.04,36.8,18.8
241,200,9.82,143,24.1,35.9,76.4,1811,36.2,73.7,81.3
176,91.4,15.7,149,12.3,45.7,72.3,1827,6.15,13.1,3.89
45.7,25.5,15.8,189,8.28,52.3,84.3,1420,11.3,42.9,36.2
42.6,28.6,18.6,37.9,13.5,9.65,24.6,359,5.23,18.3,13.6
11.8,17,49.1,410,54.2,15.7,36.2,1219,10.1,22.1,19.6
35.9,22.3,15.4,157,20.7,1.26,23.3,17.3,6.38,18.8,20.7
39.6,36.8,29.4,40,12.6,9.22,10.2,231,8.82,26.2,37.5
53.8,27.1,30.2,13.5,1.3,93.9,170,2308,13.5,26.4,46.6
178,99.1,14.7,24.1,10.2,14.2,15.1,567,106,151,30
107,56.2,19.6,195,15.3,29.4,46.6,638,8.35,21.1,13.9
89.8,49.6,12.3,163,15.8,9.73,18.1,784,20.9,69.8,68.5
51.4,27.4,65.5,418,59.4,24.6,41.8,799,13.9,33.7,31.1
44.9,31.3,23.9,30.2,8.58,26.9,71.7,1094,10.3,23.1,25.3
35.2,34.9,20.7,204,18.6,18.3,29.4,588,13.3,22.3,36.8
72.3,39.6,18.6,7.04,14.5,39.6,47.4,389,15.4,31.1,33.7
14.9,21.3,22.3,16.5,10.6,5.99,3.43,161,13.2,26.7,16.7
23.9,13.3,52.3,88.2,30.2,4.83,16.4,743,16.8,32.8,83.5
69.2,49.6,22.7,26.7,11.7,5.94,11.8,947,15.5,41,33.4
26.2,20.9,22.7,10.1,7.43,15.4,37.2,433,10.8,14.5,8.28
63.2,28.6,60.4,161,36.5,63.8,98.2,890,13.7,22.3,21.9
112,69.2,23.3,45.7,10.8,28.6,59.9,1346,3.08,8.51,7.84
59.4,36.8,10.2,157,14.6,11.7,24.4,349,12.1,20.2,21.7
129,161,54.2,79.1,23.5,34.9,70.4,2788,6.55,7.64,34
274,172,29.7,20.4,12.9,41,56.7,533,16.4,28.1,44.5
34.9,20.5,26.4,16.3,1,20,39.6,414,6.61,17,25.9
27.9,17.9,45.7,141,26.2,19.6,34.9,947,15,22.3,29.2
31.3,40.3,20.7,163,17.6,11.5,31.3,866,36.2,76.4,79.1
32.2,23.7,64.9,426,71,5.28,23.9,274,9.91,35.2,29.4
33.4,21.5,15.8,22.5,4.49,35.9,53.3,528,6.15,25.5,42.2
40.3,23.3,31.9,39.2,2.57,6.79,13.7,692,11.3,28.1,29.7
16.1,25,18.1,34.6,4.49,3.52,13.6,704,11.5,26.9,37.5
34.3,21.1,14.6,132,12.5,9.56,14.9,799,6.15,16.5,25.5
117,78.4,19.3,17.9,6.85,33.4,48.3,947,12.5,17.5,1
26.9,23.9,13.8,64.9,10.9,26.4,42.9,461,6.55,25.7,32.8
36.5,16.4,18.6,26.2,5.94,13.6,21.9,1762,15.1,37.5,11
42.9,29.4,1,129,13.3,157,453,6378,9.73,33.1,56.7
52.3,34,26.9,24.1,5.73,37.9,58.8,1459,6.98,22.1,27.6
34.3,25.5,18.4,24.1,7.5,3.46,13,583,10.6,17.5,8.74
26.4,23.3,120,514,117,23.5,43.3,799,10.8,30,58.3
31.9,16.8,32.2,46.6,15.7,10.9,27.4,890,18.3,25.9,58.8
31.9,25.5,29.7,24.8,2.64,1,10.2,38.9,8.28,12,33.4
36.5,22.3,49.6,56.2,10.2,22.9,37.2,704,29.7,77,153
27.9,17.6,16.8,105,22.7,13,32.5,2035,10.6,29.4,28.4
26.4,18.3,17.6,44.1,10.4,13.2,20.2,667,8.58,20.9,23.3
241,200,9.82,143,24.1,35.9,76.4,1811,36.2,73.7,81.3
73,31.9,20,22.1,1,11.5,22.7,791,16.3,34.9,34.9
44.9,31.3,23.9,30.2,8.58,26.9,71.7,1094,10.3,23.1,25.3
39.6,28.6,43.3,71.7,7.77,44.5,67.3,661,10.3,21.7,21.5
94.7,38.2,16.1,211,32.2,16,28.9,538,9.39,19.6,9.91
50.5,30.2,19.3,11,6.1,17.3,28.9,632,23.7,63.8,59.9
161,89,19.5,142,5.99,18.4,24.6,704,4.96,19.5,12.4
34.9,25.7,20.4,81.3,2.97,21.5,50.5,1165,6.67,30.5,23.5
25.9,16.7,14.7,217,36.8,87.4,151,2839,3.49,51.4,2.21
33.7,22.7,12.5,158,7.84,96.5,141,1843,10.1,15,28.6
33.7,21.5,18.9,217,9.22,14.1,18.6,542,10.4,19.3,40.7
27.9,15,19.5,23.3,14.2,18.8,41,1241,4.22,8.2,15.4
59.9,29.2,12.2,76.4,21.9,18.6,24.8,583,9.73,15.1,8.35
106,102,69.8,359,68.5,10.9,25.5,828,4.78,15.1,5.78
10,5.88,17.2,172,15.7,19.6,32.8,578,8.43,16.7,20.9
78.4,51.9,22.9,23.7,10.4,5.38,9.73,583,6.67,14.2,15.4
21.1,6.55,24.6,28.1,3.68,15.5,41,882,7.7,10.8,14.7
112,80.6,22.7,25.9,10.3,12.6,30.2,474,4.14,16.8,16.4
70.4,52.8,19.1,15.3,3.96,23.1,36.2,372,14.6,38.2,63.2
28.1,19.6,17.2,184,7.1,23.7,31.9,379,62.1,189,237
39.2,23.1,12,160,23.1,11.3,21.9,1263,5.47,17.9,11.5
41,11.8,15.4,75,13.9,25,30.8,626,8.06,26.4,15.7
172,110,11,221,23.9,63.8,118,3134,9.65,19.8,26.4
38.5,33.7,37.2,382,20.7,18.1,27.6,649,11.3,16.7,32.8
28.1,19.6,17.2,184,7.1,23.7,31.9,379,62.1,189,237
57.8,42.9,25.7,35.9,2.86,8.28,11.3,259,5.42,55.2,5.57
91.4,53.8,17.5,18.8,5.57,13,22.3,496,12.9,27.9,4.14
34.3,17.2,41.8,274,24.6,23.3,35.5,542,12.2,32.5,26.7
69.2,54.2,19.5,16.3,11.1,11.4,24.8,573,11.3,27.1,59.4
37.2,18.9,22.1,11.1,8.82,16.8,104,2227,18.8,68.5,61.5
66.7,30.2,1,14.3,7.17,40.7,64.4,449,1,6.21,3.92
35.2,21.7,10.8,132,10.3,4.07,12.9,547,56.7,115,154
22.1,23.3,30,22.7,6.44,19.6,35.5,939,15.1,26.9,23.9
59.4,36.8,10.2,157,14.6,11.7,24.4,349,12.1,20.2,21.7
61.5,64.4,16.1,163,2.71,25.5,34,487,7.7,23.9,29.4
30.8,20.7,28.4,30,12.7,13.6,16.5,509,10.6,24.8,18.3
24.1,18.3,17.9,97.3,7.1,63.2,112,1911,17.6,27.9,35.2
44.1,42.2,14.5,204,13.8,20.7,42.6,509,13.3,39.2,61.5
131,77.7,6.67,129,36.2,20.4,35.9,519,16.5,51.4,75.7
44.1,33.7,41,325,31.6,10.6,36.8,470,1.03,59.4,6.38
47.8,31.6,24.6,98.2,8.9,42.9,110,1512,9.22,29.4,49.1
34.6,30,18.3,109,9.82,112,189,2525,10.3,20.9,22.9
200,125,16.5,308,15.1,37.2,38.2,777,24.8,43.3,100
40.7,13.1,25.3,22.7,1.17,11.4,25.7,685,14.6,24.6,20.7
33.4,21.5,23.7,32.2,4.57,11.7,34.6,359,14.1,26.9,34.6
76.4,50.9,20.5,22.9,3.59,2.33,4.74,50.9,15.8,29.7,82
34.3,21.3,51.9,292,56.2,10.2,30.2,449,5.23,23.7,34.6
91.4,55.2,18.3,196,10.6,33.7,50.9,655,10.6,27.4,43.3
69.8,51.9,13.3,86.6,20.5,15,17.3,583,8.43,13,21.3
142,98.2,59.4,392,44.5,71.7,123,1762,34.3,118,137
44.5,27.1,57.8,279,42.6,85.8,145,1640,8.98,26.7,21.1
41.4,24.4,18.6,23.3,6.38,16.1,26.2,906,13.6,40.3,42.6
178,99.1,14.7,24.1,10.2,14.2,15.1,567,106,151,30
35.2,34.9,20.7,204,18.6,18.3,29.4,588,13.3,22.3,36.8
36.8,24.8,21.7,98.2,18.3,7.91,19.8,403,8.74,25.9,38.5
122,143,27.4,33.4,6.85,21.9,31.3,547,8.82,25,23.1
113,106,8.13,89,10.6,15.8,25.5,947,26.4,56.7,78.4
44.9,24.6,20.4,21.5,24.8,6.32,22.1,770,23.5,42.6,75
109,77.7,31.1,32.5,13.5,14.2,23.3,445,55.7,108,80.6
18.1,26.9,10.1,77.7,17.3,34.6,89,1346,7.04,18.4,16.5
68.5,47,30,28.1,11.8,20.2,28.1,562,11.1,35.9,1
52.8,31.3,44.9,264,30.2,12.1,35.9,1263,13.9,27.9,21.7
31.9,16.8,32.2,46.6,15.7,10.9,27.4,890,18.3,25.9,58.8
44.1,18.4,23.5,22.7,6.61,22.9,36.8,496,16,34,14.5
96.5,69.8,32.5,64.9,8.2,13.2,25.3,770,56.2,141,205
36.5,25.7,22.5,76.4,13.5,17,27.9,730,12.2,36.2,30.5
59.4,36.8,10.2,157,14.6,11.7,24.4,349,12.1,20.2,21.7
95.6,59.4,49.1,437,50,13.6,24.6,588,49.1,115,164
67.3,72.3,10.5,119,5.19,23.3,41,632,47.4,131,264
75.7,63.8,55.7,311,62.1,37.2,63.8,1685,13,26.2,38.2
33.4,27.1,22.9,19.3,2.04,12.5,26.9,594,17.3,38.5,46.1
30.2,17.6,26.7,26.4,4.29,106,204,1794,30,59.9,66.7
34,16,12.1,289,22.7,17.8,20.7,505,13.3,29.7,32.5
75,50.9,16.4,29.7,9.14,61,108,1395,7.3,17.3,40.3
33.1,26.4,21.5,50.9,6.98,117,135,445,49.6,109,103
57.3,46.6,13.3,75.7,10,10.1,28.1,449,10.8,20,17.5
35.9,26.7,18.8,41.8,11,98.2,231,1794,23.3,56.7,109
23.1,21.7,25.3,17.3,11.3,14.3,30,835,9.82,25.3,14.2
70.4,40.7,22.9,22.3,3.05,16.7,28.1,542,10.5,19.5,21.5
48.3,18.4,13.9,132,12.5,12.5,33.1,882,49.1,107,211
36.2,18.6,34.9,34.9,11.3,13.2,20.4,791,1.11,10.5,18.4
45.7,25.5,15.8,189,8.28,52.3,84.3,1420,11.3,42.9,36.2
26.9,23.9,13.8,64.9,10.9,26.4,42.9,461,6.55,25.7,32.8
112,69.2,23.3,45.7,10.8,28.6,59.9,1346,3.08,8.51,7.84
237,170,70.4,241,41.4,37.5,53.8,322,9.22,15.8,15.8
37.9,29.4,27.4,24.1,1.33,15.4,31.1,547,7.64,9.56,20.7
22.3,26.7,44.1,153,42.6,12.6,22.9,939,13.2,20.4,70.4
28.9,18.3,44.1,433,67.3,21.1,29.7,449,11,36.2,42.6
44.5,27.1,57.8,279,42.6,85.8,145,1640,8.98,26.7,21.1
73.7,57.8,8.9,122,6.04,45.7,58.8,578,22.1,66.7,62.1
29.7,25.5,37.9,57.8,14.6,11.2,21.1,470,7.43,22.5,23.5
66.7,44.9,22.9,68.5,25,28.4,56.2,453,9.31,18.8,24.6
22.5,17,16.7,82,18.8,37.2,61.5,1186,10.7,22.7,28.6
59.9,35.2,64.9,257,42.2,12.6,28.1,730,1.86,3.79,4.03
21.1,15,24.8,25.7,5.38,9.65,36.2,737,11.2,29.7,24.4
35.2,21.7,10.8,132,10.3,4.07,12.9,547,56.7,115,154
207,139,11.8,142,19.8,16.8,34.6,562,9.82,18.8,33.7
59.9,29.2,12.2,76.4,21.9,18.6,24.8,583,9.73,15.1,8.35
85.8,71,19.1,28.1,10.4,31.9,57.3,1582,9.22,13.7,34.3
27.1,33.1,20,8.58,8.06,75.7,106,346,12,16,16.4
31.3,40.3,20.7,163,17.6,11.5,31.3,866,36.2,76.4,79.1
135,73.7,18.9,105,6.49,25.5,62.6,1911,6.21,17.3,15.5
115,58.8,20.2,57.3,15.3,67.3,115,1370,15.4,36.2,39.6
34.6,19.5,106,478,68.5,23.1,24.6,429,10.7,20.9,28.9
70.4,40.7,22.9,22.3,3.05,16.7,28.1,542,10.5,19.5,21.5
73.7,57.8,8.9,122,6.04,45.7,58.8,578,22.1,66.7,62.1
26.4,24.1,18.6,14.7,5.05,9.06,18.9,1104,8.74,17.5,12.5
53.3,34.9,19.3,47.8,10.1,3.49,17.2,173,18.9,53.3,55.2
28.6,17.9,15,51.9,14.9,9.22,34.6,470,7.99,12.5,19.1
30.2,25.3,56.2,573,75,10.6,23.7,449,13.2,31.1,38.9
139,94.7,20.9,73.7,10.2,27.9,48.3,1197,15.7,36.2,46.1
35.9,25.7,49.6,362,46.1,35.9,55.7,1877,9.39,21.9,27.6
25.3,17.6,27.6,28.4,7.84,17.5,42.2,382,11.2,19.6,18.6
33.4,23.5,111,433,136,7.99,16.7,410,56.7,118,142
147,87.4,26.9,20.4,20.7,32.8,47.4,777,20,56.2,103
39.2,34.9,75.7,433,73,11.7,39.2,449,25.5,51.4,75.7
229,165,21.3,25.5,1.09,59.4,129,2436,9.91,20,15.5
42.9,29.4,1,129,13.3,157,453,6378,9.73,33.1,56.7
33.7,20.4,25.5,24.6,6.73,11.9,58.3,325,13.9,14.9,32.5
34.3,26.9,54.2,79.1,32.8,9.14,13.5,410,14.1,30.5,20.9
176,97.3,24.4,145,15.7,14.7,21.3,820,7.77,19.6,20.9
191,121,15.8,106,11,12.9,22.5,638,8.98,18.9,21.5
89.8,82,12.5,27.4,10.1,17.3,31.1,882,16.5,47,68.5
32.2,10.8,12.6,27.4,10.6,18.6,40.7,813,22.3,32.5,41.4
48.7,24.4,112,414,125,10,17.6,638,7.91,22.7,19.8
18.4,19.1,44.1,231,62.6,59.4,93.1,3619,24.4,56.7,77
23.5,32.5,24.4,55.7,13.3,11.3,26.4,851,9.22,23.3,33.7
106,63.8,20.5,24.4,14.6,17.5,31.3,528,20.4,56.2,51.4
83.5,54.2,60.4,48.3,14.9,31.3,51.9,621,14.1,16.4,25.3
34.3,20.4,57.8,626,71.7,49.1,74.3,1252,10,25,20.4
164,87.4,22.1,26.4,1.96,12.1,13.9,533,12.5,31.9,25.7
54.7,36.5,7.04,8.9,5.47,6.32,4.57,150,7.17,22.3,6.55
191,115,13.1,12.5,3.31,21.7,25.7,514,11.4,12.9,17
36.8,24.8,21.7,98.2,18.3,7.91,19.8,403,8.74,25.9,38.5
37.9,20.2,41.4,42.6,14.6,11.4,27.6,429,32.2,85.1,112
73,46.1,15.5,113,8.2,13.3,22.3,621,13.5,21.9,30
52.3,32.8,23.5,217,14.6,24.1,35.5,939,37.5,79.1,133
184,132,21.1,21.1,10.4,5.88,40.7,1252,46.1,115,145
36.5,16.4,18.6,26.2,5.94,13.6,21.9,1762,15.1,37.5,11
39.6,20.2,93.1,505,58.8,5.52,30.8,1843,7.1,18.4,18.8
40.7,25,14.3,167,26.2,10.5,17.8,914,8.51,30.2,30.8
22.9,26.9,20.2,19.6,5.23,10.3,13.3,255,10.1,22.5,19.6
60.4,40.7,27.6,22.1,5,18.6,41,1124,7.7,23.3,17.9
34.9,19.8,14.7,94.7,4.91,51.9,89,1981,11,41.8,41.8
71.7,40,27.1,47,219,14.5,25.3,939,12.7,23.9,63.2
37.2,23.1,7.64,22.5,13.2,79.1,147,1894,7.37,25.9,27.1
41,41,18.1,167,19.8,4.1,15.4,615,13.8,22.5,20.5
45.3,32.8,19.3,120,20.5,39.2,58.3,655,10.3,22.3,29.4
48.3,42.9,14.2,279,18.9,54.2,102,2167,1.65,61.5,9.65
120,77.7,40,62.1,28.4,22.9,36.8,414,12.3,13.7,17.5
28.1,19.6,17.2,184,7.1,23.7,31.9,379,62.1,189,237
25.5,22.7,44.9,248,223,44.1,89,3078,35.5,70.4,103
37.2,23.1,7.64,22.5,13.2,79.1,147,1894,7.37,25.9,27.1
142,85.1,25.3,33.1,26.9,12,24.1,939,80.6,101,12.2
127,132,16.7,233,30.8,14.5,39.2,644,3.96,20.5,8.9
20,17.6,5.99,6.92,11.2,3.65,10.4,552,11,22.3,21.5
274,172,29.7,20.4,12.9,41,56.7,533,16.4,28.1,44.5
132,59.9,36.2,160,44.9,8.66,36.5,359,9.39,27.4,17.9
28.6,17.9,15,51.9,14.9,9.22,34.6,470,7.99,12.5,19.1
28.1,16.7,27.9,372,30.8,44.9,97.3,1731,4.14,10.8,3.82
39.2,34.9,75.7,433,73,11.7,39.2,449,25.5,51.4,75.7
26.7,18.6,48.7,44.1,3.79,14.1,16.3,791,7.99,20.9,21.9
50,31.6,15.5,61,11.7,16.3,34.9,874,40.7,107,106
44.5,37.2,18.4,250,28.1,20.5,21.3,533,3.55,16.8,28.1
164,225,18.4,52.8,1.46,50,68.5,453,2.39,18.4,13.9
28.6,5.57,31.6,32.8,13.1,17.2,24.8,519,9.65,24.4,20.2
23.7,40,10.2,122,1.76,13,21.7,858,34.6,77.7,98.2
36.5,22.5,17.2,16.5,7.3,21.5,48.7,604,21.9,42.9,44.1
34.9,16.1,54.2,562,71.7,13,27.6,737,9.73,18.4,18.9
67.9,71.7,18.1,14.2,9.14,39.2,47.8,939,15,34.9,54.2
51.4,32.8,32.8,23.9,21.1,13.6,23.7,843,9.56,21.7,21.9
63.8,40.3,29.4,66.1,19.3,58.3,89.8,1027,58.8,165,259
86.6,55.2,23.3,22.7,4.91,4.87,9.65,136,36.5,86.6,118
59.4,36.8,10.2,157,14.6,11.7,24.4,349,12.1,20.2,21.7
57.8,42.9,25.7,35.9,2.86,8.28,11.3,259,5.42,55.2,5.57
106,63.8,20.5,24.4,14.6,17.5,31.3,528,20.4,56.2,51.4
48.3,42.9,14.2,279,18.9,54.2,102,2167,1.65,61.5,9.65
94.7,64.4,16.3,16.8,9.22,67.3,105,1981,10.3,22.5,20.5
24.1,13,72.3,337,85.8,1.01,2.44,158,6.21,15.3,17.2
44.5,27.1,57.8,279,42.6,85.8,145,1640,8.98,26.7,21.1
39.6,28.6,43.3,71.7,7.77,44.5,67.3,661,10.3,21.7,21.5
73,54.7,20,151,30.5,28.1,38.5,723,16.5,32.2,33.4
107,56.2,19.6,195,15.3,29.4,46.6,638,8.35,21.1,13.9
40.7,24.6,8.9,78.4,7.57,59.4,108,2813,12.5,15.4,30.8
31.9,23.5,25.3,23.5,3.31,10.7,24.6,851,11.9,22.7,7.37
143,74.3,24.4,51.4,14.7,50,82.8,2414,50.5,100,87.4
21.1,6.55,24.6,28.1,3.68,15.5,41,882,7.7,10.8,14.7
118,31.6,22.3,248,20.9,3.13,13.5,583,30.5,85.8,204
229,165,21.3,25.5,1.09,59.4,129,2436,9.91,20,15.5
131,77.7,6.67,129,36.2,20.4,35.9,519,16.5,51.4,75.7
112,81.3,18.9,37.9,12.9,9.65,26.4,1395,5.33,15.1,28.1
90.6,57.8,28.9,23.3,1.93,16,35.9,396,42.2,95.6,100
54.7,42.2,20.2,16.5,4.91,45.7,78.4,3652,12.9,19.5,29.7
42.9,30.8,23.1,18.6,1.86,4.53,17.8,1065,5.78,19.1,12.3
129,161,54.2,79.1,23.5,34.9,70.4,2788,6.55,7.64,34
86.6,79.9,16,136,13.8,18.4,28.9,626,10,18.3,23.3
88.2,35.9,20,131,11.4,34.6,55.2,1144,15.1,34.3,27.1
30.5,32.8,10.2,136,5.94,30.5,55.7,791,14.1,20.5,48.7
29.7,30,17.3,80.6,9.65,11.1,24.4,457,18.8,47.4,73
30,10.4,23.3,22.9,4.41,39.2,88.2,2072,31.3,75.7,89.8
106,65.5,24.4,30.2,12.3,34.6,65.5,1144,2.41,12.1,17.6
151,98.2,23.1,36.8,1.41,41.8,93.9,1554,10,17.5,1.17
29.7,25.5,37.9,57.8,14.6,11.2,21.1,470,7.43,22.5,23.5
36.8,17.6,9.47,161,25.3,52.8,92.2,2072,8.13,10.3,16.1
35.9,13.5,12,186,21.5,15.8,35.5,991,13.1,16.4,42.9
106,71.7,28.9,157,29.2,11.4,23.9,542,5.23,23.7,58.8
21.3,22.3,53.3,337,67.9,7.37,8.51,334,6.79,15,13.5
53.8,27.1,30.2,13.5,1.3,93.9,170,2308,13.5,26.4,46.6
189,121,21.3,27.9,14.6,29.7,44.9,661,2.13,67.9,5.88
113,106,8.13,89,10.6,15.8,25.5,947,26.4,56.7,78.4
73,50,28.9,32.2,18.8,10.2,17.9,319,8.43,17,42.2
53.8,31.6,29.7,40,14.5,57.3,89,1894,13.8,35.2,39.6
34.9,19.6,20.2,13.1,1,55.2,115,1843,7.04,25.3,36.2
36.2,18.6,34.9,34.9,11.3,13.2,20.4,791,1.11,10.5,18.4
176,91.4,15.7,149,12.3,45.7,72.3,1827,6.15,13.1,3.89
50,32.2,97.3,392,89,13.2,20.7,673,10.2,22.9,30.8
29.7,30,17.3,80.6,9.65,11.1,24.4,457,18.8,47.4,73
38.2,13.7,15.8,47.4,4.96,11.9,28.9,470,45.3,89.8,114
68.5,107,18.3,31.1,19.5,11.1,22.9,599,12.2,27.1,14.3
47.4,21.1,44.1,179,23.5,11.2,20.2,478,10.3,37.5,34.6
18.6,17.3,96.5,491,109,11.9,32.8,346,18.6,41.8,89.8
26.2,2,19.3,49.1,12.7,4.33,13.9,170,8.74,31.6,12.3
50,32.2,97.3,392,89,13.2,20.7,673,10.2,22.9,30.8
308,200,16,93.9,29.7,17.8,31.9,655,11.2,17.5,7.1
52.8,44.5,16.7,43.7,5,69.2,97.3,1407,9.31,16.5,34.3
103,75,40.3,49.6,18.6,6.15,7.64,211,10.8,16.4,25.9
113,106,8.13,89,10.6,15.8,25.5,947,26.4,56.7,78.4
147,102,6.04,20.4,10.3,29.2,47.4,478,5.47,14.6,11.4
76.4,50.9,20.5,22.9,3.59,2.33,4.74,50.9,15.8,29.7,82
129,93.9,23.7,16,9.22,7.91,38.2,403,1.91,6.04,1.13
139,94.7,20.9,73.7,10.2,27.9,48.3,1197,15.7,36.2,46.1
41.8,24.1,18.4,18.3,8.66,19.8,38.5,422,39.6,83.5,158
28.9,18.3,44.1,433,67.3,21.1,29.7,449,11,36.2,42.6
13.8,18.3,13.5,54.2,21.9,18.4,39.6,655,8.43,30.5,34.3
36.8,83.5,24.6,115,12.1,37.2,47,813,12.6,21.5,29.7
39.6,28.1,18.1,28.9,20.9,19.1,29.7,557,18.6,65.5,73
74.3,41.8,48.7,253,29.2,21.5,46.6,649,6.85,18.4,45.3
32.8,28.1,17.3,20.9,3.82,100,172,2666,31.9,75.7,107
37.5,17.6,6.61,181,13.9,23.9,39.2,644,13.2,33.7,56.2
163,94.7,17.5,23.9,6.92,13.8,46.1,400,8.13,11.8,17.3
36.5,16.4,18.6,26.2,5.94,13.6,21.9,1762,15.1,37.5,11
308,200,16,93.9,29.7,17.8,31.9,655,11.2,17.5,7.1
73,46.1,15.5,113,8.2,13.3,22.3,621,13.5,21.9,30
41,30.8,20.9,25,1,12.4,20.2,685,10.8,35.2,30.8
31.3,19.6,17.2,85.8,11.7,29.2,59.4,914,9.91,25,14.5
31.3,18.8,54.2,300,42.2,32.5,58.3,1946,1.91,5.38,15.7
39.6,36.8,29.4,40,12.6,9.22,10.2,231,8.82,26.2,37.5
163,122,21.7,311,47,43.7,99.1,1894,3.65,21.3,26.2
